

Windows-1252;;kunta_1_20220101#maakunta_1_20220101;;
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'06'";"Pirkanmaa"
"'005'";"Alajärvi";"'14'";"Etelä-Pohjanmaa"
"'009'";"Alavieska";"'17'";"Pohjois-Pohjanmaa"
"'010'";"Alavus";"'14'";"Etelä-Pohjanmaa"
"'016'";"Asikkala";"'07'";"Päijät-Häme"
"'018'";"Askola";"'01'";"Uusimaa"
"'019'";"Aura";"'02'";"Varsinais-Suomi"
"'035'";"Brändö";"'21'";"Ahvenanmaa"
"'043'";"Eckerö";"'21'";"Ahvenanmaa"
"'046'";"Enonkoski";"'10'";"Etelä-Savo"
"'047'";"Enontekiö";"'19'";"Lappi"
"'049'";"Espoo";"'01'";"Uusimaa"
"'050'";"Eura";"'04'";"Satakunta"
"'051'";"Eurajoki";"'04'";"Satakunta"
"'052'";"Evijärvi";"'14'";"Etelä-Pohjanmaa"
"'060'";"Finström";"'21'";"Ahvenanmaa"
"'061'";"Forssa";"'05'";"Kanta-Häme"
"'062'";"Föglö";"'21'";"Ahvenanmaa"
"'065'";"Geta";"'21'";"Ahvenanmaa"
"'069'";"Haapajärvi";"'17'";"Pohjois-Pohjanmaa"
"'071'";"Haapavesi";"'17'";"Pohjois-Pohjanmaa"
"'072'";"Hailuoto";"'17'";"Pohjois-Pohjanmaa"
"'074'";"Halsua";"'16'";"Keski-Pohjanmaa"
"'075'";"Hamina";"'08'";"Kymenlaakso"
"'076'";"Hammarland";"'21'";"Ahvenanmaa"
"'077'";"Hankasalmi";"'13'";"Keski-Suomi"
"'078'";"Hanko";"'01'";"Uusimaa"
"'079'";"Harjavalta";"'04'";"Satakunta"
"'081'";"Hartola";"'07'";"Päijät-Häme"
"'082'";"Hattula";"'05'";"Kanta-Häme"
"'086'";"Hausjärvi";"'05'";"Kanta-Häme"
"'111'";"Heinola";"'07'";"Päijät-Häme"
"'090'";"Heinävesi";"'12'";"Pohjois-Karjala"
"'091'";"Helsinki";"'01'";"Uusimaa"
"'097'";"Hirvensalmi";"'10'";"Etelä-Savo"
"'098'";"Hollola";"'07'";"Päijät-Häme"
"'102'";"Huittinen";"'04'";"Satakunta"
"'103'";"Humppila";"'05'";"Kanta-Häme"
"'105'";"Hyrynsalmi";"'18'";"Kainuu"
"'106'";"Hyvinkää";"'01'";"Uusimaa"
"'108'";"Hämeenkyrö";"'06'";"Pirkanmaa"
"'109'";"Hämeenlinna";"'05'";"Kanta-Häme"
"'139'";"Ii";"'17'";"Pohjois-Pohjanmaa"
"'140'";"Iisalmi";"'11'";"Pohjois-Savo"
"'142'";"Iitti";"'07'";"Päijät-Häme"
"'143'";"Ikaalinen";"'06'";"Pirkanmaa"
"'145'";"Ilmajoki";"'14'";"Etelä-Pohjanmaa"
"'146'";"Ilomantsi";"'12'";"Pohjois-Karjala"
"'153'";"Imatra";"'09'";"Etelä-Karjala"
"'148'";"Inari";"'19'";"Lappi"
"'149'";"Inkoo";"'01'";"Uusimaa"
"'151'";"Isojoki";"'14'";"Etelä-Pohjanmaa"
"'152'";"Isokyrö";"'14'";"Etelä-Pohjanmaa"
"'165'";"Janakkala";"'05'";"Kanta-Häme"
"'167'";"Joensuu";"'12'";"Pohjois-Karjala"
"'169'";"Jokioinen";"'05'";"Kanta-Häme"
"'170'";"Jomala";"'21'";"Ahvenanmaa"
"'171'";"Joroinen";"'11'";"Pohjois-Savo"
"'172'";"Joutsa";"'13'";"Keski-Suomi"
"'176'";"Juuka";"'12'";"Pohjois-Karjala"
"'177'";"Juupajoki";"'06'";"Pirkanmaa"
"'178'";"Juva";"'10'";"Etelä-Savo"
"'179'";"Jyväskylä";"'13'";"Keski-Suomi"
"'181'";"Jämijärvi";"'04'";"Satakunta"
"'182'";"Jämsä";"'13'";"Keski-Suomi"
"'186'";"Järvenpää";"'01'";"Uusimaa"
"'202'";"Kaarina";"'02'";"Varsinais-Suomi"
"'204'";"Kaavi";"'11'";"Pohjois-Savo"
"'205'";"Kajaani";"'18'";"Kainuu"
"'208'";"Kalajoki";"'17'";"Pohjois-Pohjanmaa"
"'211'";"Kangasala";"'06'";"Pirkanmaa"
"'213'";"Kangasniemi";"'10'";"Etelä-Savo"
"'214'";"Kankaanpää";"'04'";"Satakunta"
"'216'";"Kannonkoski";"'13'";"Keski-Suomi"
"'217'";"Kannus";"'16'";"Keski-Pohjanmaa"
"'218'";"Karijoki";"'14'";"Etelä-Pohjanmaa"
"'224'";"Karkkila";"'01'";"Uusimaa"
"'226'";"Karstula";"'13'";"Keski-Suomi"
"'230'";"Karvia";"'04'";"Satakunta"
"'231'";"Kaskinen";"'15'";"Pohjanmaa"
"'232'";"Kauhajoki";"'14'";"Etelä-Pohjanmaa"
"'233'";"Kauhava";"'14'";"Etelä-Pohjanmaa"
"'235'";"Kauniainen";"'01'";"Uusimaa"
"'236'";"Kaustinen";"'16'";"Keski-Pohjanmaa"
"'239'";"Keitele";"'11'";"Pohjois-Savo"
"'240'";"Kemi";"'19'";"Lappi"
"'320'";"Kemijärvi";"'19'";"Lappi"
"'241'";"Keminmaa";"'19'";"Lappi"
"'322'";"Kemiönsaari";"'02'";"Varsinais-Suomi"
"'244'";"Kempele";"'17'";"Pohjois-Pohjanmaa"
"'245'";"Kerava";"'01'";"Uusimaa"
"'249'";"Keuruu";"'13'";"Keski-Suomi"
"'250'";"Kihniö";"'06'";"Pirkanmaa"
"'256'";"Kinnula";"'13'";"Keski-Suomi"
"'257'";"Kirkkonummi";"'01'";"Uusimaa"
"'260'";"Kitee";"'12'";"Pohjois-Karjala"
"'261'";"Kittilä";"'19'";"Lappi"
"'263'";"Kiuruvesi";"'11'";"Pohjois-Savo"
"'265'";"Kivijärvi";"'13'";"Keski-Suomi"
"'271'";"Kokemäki";"'04'";"Satakunta"
"'272'";"Kokkola";"'16'";"Keski-Pohjanmaa"
"'273'";"Kolari";"'19'";"Lappi"
"'275'";"Konnevesi";"'13'";"Keski-Suomi"
"'276'";"Kontiolahti";"'12'";"Pohjois-Karjala"
"'280'";"Korsnäs";"'15'";"Pohjanmaa"
"'284'";"Koski Tl";"'02'";"Varsinais-Suomi"
"'285'";"Kotka";"'08'";"Kymenlaakso"
"'286'";"Kouvola";"'08'";"Kymenlaakso"
"'287'";"Kristiinankaupunki";"'15'";"Pohjanmaa"
"'288'";"Kruunupyy";"'15'";"Pohjanmaa"
"'290'";"Kuhmo";"'18'";"Kainuu"
"'291'";"Kuhmoinen";"'06'";"Pirkanmaa"
"'295'";"Kumlinge";"'21'";"Ahvenanmaa"
"'297'";"Kuopio";"'11'";"Pohjois-Savo"
"'300'";"Kuortane";"'14'";"Etelä-Pohjanmaa"
"'301'";"Kurikka";"'14'";"Etelä-Pohjanmaa"
"'304'";"Kustavi";"'02'";"Varsinais-Suomi"
"'305'";"Kuusamo";"'17'";"Pohjois-Pohjanmaa"
"'312'";"Kyyjärvi";"'13'";"Keski-Suomi"
"'316'";"Kärkölä";"'07'";"Päijät-Häme"
"'317'";"Kärsämäki";"'17'";"Pohjois-Pohjanmaa"
"'318'";"Kökar";"'21'";"Ahvenanmaa"
"'398'";"Lahti";"'07'";"Päijät-Häme"
"'399'";"Laihia";"'15'";"Pohjanmaa"
"'400'";"Laitila";"'02'";"Varsinais-Suomi"
"'407'";"Lapinjärvi";"'01'";"Uusimaa"
"'402'";"Lapinlahti";"'11'";"Pohjois-Savo"
"'403'";"Lappajärvi";"'14'";"Etelä-Pohjanmaa"
"'405'";"Lappeenranta";"'09'";"Etelä-Karjala"
"'408'";"Lapua";"'14'";"Etelä-Pohjanmaa"
"'410'";"Laukaa";"'13'";"Keski-Suomi"
"'416'";"Lemi";"'09'";"Etelä-Karjala"
"'417'";"Lemland";"'21'";"Ahvenanmaa"
"'418'";"Lempäälä";"'06'";"Pirkanmaa"
"'420'";"Leppävirta";"'11'";"Pohjois-Savo"
"'421'";"Lestijärvi";"'16'";"Keski-Pohjanmaa"
"'422'";"Lieksa";"'12'";"Pohjois-Karjala"
"'423'";"Lieto";"'02'";"Varsinais-Suomi"
"'425'";"Liminka";"'17'";"Pohjois-Pohjanmaa"
"'426'";"Liperi";"'12'";"Pohjois-Karjala"
"'444'";"Lohja";"'01'";"Uusimaa"
"'430'";"Loimaa";"'02'";"Varsinais-Suomi"
"'433'";"Loppi";"'05'";"Kanta-Häme"
"'434'";"Loviisa";"'01'";"Uusimaa"
"'435'";"Luhanka";"'13'";"Keski-Suomi"
"'436'";"Lumijoki";"'17'";"Pohjois-Pohjanmaa"
"'438'";"Lumparland";"'21'";"Ahvenanmaa"
"'440'";"Luoto";"'15'";"Pohjanmaa"
"'441'";"Luumäki";"'09'";"Etelä-Karjala"
"'475'";"Maalahti";"'15'";"Pohjanmaa"
"'478'";"Maarianhamina - Mariehamn";"'21'";"Ahvenanmaa"
"'480'";"Marttila";"'02'";"Varsinais-Suomi"
"'481'";"Masku";"'02'";"Varsinais-Suomi"
"'483'";"Merijärvi";"'17'";"Pohjois-Pohjanmaa"
"'484'";"Merikarvia";"'04'";"Satakunta"
"'489'";"Miehikkälä";"'08'";"Kymenlaakso"
"'491'";"Mikkeli";"'10'";"Etelä-Savo"
"'494'";"Muhos";"'17'";"Pohjois-Pohjanmaa"
"'495'";"Multia";"'13'";"Keski-Suomi"
"'498'";"Muonio";"'19'";"Lappi"
"'499'";"Mustasaari";"'15'";"Pohjanmaa"
"'500'";"Muurame";"'13'";"Keski-Suomi"
"'503'";"Mynämäki";"'02'";"Varsinais-Suomi"
"'504'";"Myrskylä";"'01'";"Uusimaa"
"'505'";"Mäntsälä";"'01'";"Uusimaa"
"'508'";"Mänttä-Vilppula";"'06'";"Pirkanmaa"
"'507'";"Mäntyharju";"'10'";"Etelä-Savo"
"'529'";"Naantali";"'02'";"Varsinais-Suomi"
"'531'";"Nakkila";"'04'";"Satakunta"
"'535'";"Nivala";"'17'";"Pohjois-Pohjanmaa"
"'536'";"Nokia";"'06'";"Pirkanmaa"
"'538'";"Nousiainen";"'02'";"Varsinais-Suomi"
"'541'";"Nurmes";"'12'";"Pohjois-Karjala"
"'543'";"Nurmijärvi";"'01'";"Uusimaa"
"'545'";"Närpiö";"'15'";"Pohjanmaa"
"'560'";"Orimattila";"'07'";"Päijät-Häme"
"'561'";"Oripää";"'02'";"Varsinais-Suomi"
"'562'";"Orivesi";"'06'";"Pirkanmaa"
"'563'";"Oulainen";"'17'";"Pohjois-Pohjanmaa"
"'564'";"Oulu";"'17'";"Pohjois-Pohjanmaa"
"'309'";"Outokumpu";"'12'";"Pohjois-Karjala"
"'576'";"Padasjoki";"'07'";"Päijät-Häme"
"'577'";"Paimio";"'02'";"Varsinais-Suomi"
"'578'";"Paltamo";"'18'";"Kainuu"
"'445'";"Parainen";"'02'";"Varsinais-Suomi"
"'580'";"Parikkala";"'09'";"Etelä-Karjala"
"'581'";"Parkano";"'06'";"Pirkanmaa"
"'599'";"Pedersören kunta";"'15'";"Pohjanmaa"
"'583'";"Pelkosenniemi";"'19'";"Lappi"
"'854'";"Pello";"'19'";"Lappi"
"'584'";"Perho";"'16'";"Keski-Pohjanmaa"
"'588'";"Pertunmaa";"'10'";"Etelä-Savo"
"'592'";"Petäjävesi";"'13'";"Keski-Suomi"
"'593'";"Pieksämäki";"'10'";"Etelä-Savo"
"'595'";"Pielavesi";"'11'";"Pohjois-Savo"
"'598'";"Pietarsaari";"'15'";"Pohjanmaa"
"'601'";"Pihtipudas";"'13'";"Keski-Suomi"
"'604'";"Pirkkala";"'06'";"Pirkanmaa"
"'607'";"Polvijärvi";"'12'";"Pohjois-Karjala"
"'608'";"Pomarkku";"'04'";"Satakunta"
"'609'";"Pori";"'04'";"Satakunta"
"'611'";"Pornainen";"'01'";"Uusimaa"
"'638'";"Porvoo";"'01'";"Uusimaa"
"'614'";"Posio";"'19'";"Lappi"
"'615'";"Pudasjärvi";"'17'";"Pohjois-Pohjanmaa"
"'616'";"Pukkila";"'01'";"Uusimaa"
"'619'";"Punkalaidun";"'06'";"Pirkanmaa"
"'620'";"Puolanka";"'18'";"Kainuu"
"'623'";"Puumala";"'10'";"Etelä-Savo"
"'624'";"Pyhtää";"'08'";"Kymenlaakso"
"'625'";"Pyhäjoki";"'17'";"Pohjois-Pohjanmaa"
"'626'";"Pyhäjärvi";"'17'";"Pohjois-Pohjanmaa"
"'630'";"Pyhäntä";"'17'";"Pohjois-Pohjanmaa"
"'631'";"Pyhäranta";"'02'";"Varsinais-Suomi"
"'635'";"Pälkäne";"'06'";"Pirkanmaa"
"'636'";"Pöytyä";"'02'";"Varsinais-Suomi"
"'678'";"Raahe";"'17'";"Pohjois-Pohjanmaa"
"'710'";"Raasepori";"'01'";"Uusimaa"
"'680'";"Raisio";"'02'";"Varsinais-Suomi"
